timestamp,category,text
2026-09-05T11:36:11.092258,sports, Enters as Favorites against arch-rivals Pakistan in the ongoing Women's Asia Cup cricket fixtures. [1] (https://www.thehindu.com/)
2026-09-05T11:36:13.537475,sports, Enters as Favorites against arch-rivals Pakistan in the ongoing Women's Asia Cup cricket fixtures. [1] (https://www.thehindu.com/)
