timestamp,category,headline,text,confidence
2026-09-05T12:19:39,world,,"Nepal Flash Floods Relief continues as India successfully rescues additional stranded citizens, including a 5-year-old child, following severe disruptions to the Himalayan nation's hydropower grid",0.2758
2026-09-05T12:21:32,world,,Police detained suspects following the murder of a Hindu family of four inside their home.,0.2811
